No.,本文,作成日時,いいね,RT,リプライ,引用RT,ブックマーク,表示回数,ツイートURL,月間インプ,月間ツイート数,平均インプ,平均いいね,平均ブックマーク
,,,,,,,,,,10688,8,1336,5,1.5
1,だいぶポストできていなかったのですが、DMでは複数ご相談いただいておりました🙇‍♀️ご相談希望の方が多ければ、相談LINEを作ろうかと思っていますが、ご希望ございますか？🥺,2025/06/30 (月),0,0,0,0,1,949,https://twitter.com/bu_fukuen/status/1939586914979557852,,,,,
2,"復縁心理術、
お得な先行価格は今日までです🙇‍♀️ https://t.co/uupf5PL6Od",2025/06/15 (日),0,0,0,0,0,1185,https://twitter.com/bu_fukuen/status/1934194322322452692,,,,,
3,拒絶したり避けてくる元カレの方が、実は復縁しやすいと思うし、実際私も『 頭おかしいからもう関わりたくない 』って否定されて着信拒否もされたけど、そんな状態からも復縁できた。だって、『 仕事が落ち着いたら 』『 ここ直したらまたね 』って“可能性”をチラつかせてくる男ほど、実は,2025/06/14 (土),12,1,1,0,4,1178,https://twitter.com/bu_fukuen/status/1933816162628022739,,,,,
4,復縁した彼に聞いたんだけど、LINEの未読も既読無視も、完全に脈なしなわけじゃないって言ってた。むしろ「何を返せばいいかわからなかった」とか「自分の中でも気持ちがまとまってなかった」っていう“感情の途中”だったらしい。だからこそ復縁計画をたてて戦略的に動いた私は溺愛に逆転できた。,2025/06/14 (土),8,1,0,0,1,1069,https://twitter.com/bu_fukuen/status/1933757970636288389,,,,,
5,"\ 新作 note /

彼から『 また会いたい 』って連絡がくる仕掛けづくりをまとめました

☑︎ 彼に指摘されたところを治して
☑︎ 自分磨きして
☑︎ ひたすら待っても

彼が別れを決めた根本的な原因をつぶしたことにはならないから、もっと確実で具体的な方法お伝えします
https://t.co/5OunF3jRt1

pr",2025/06/11 (水),2,1,0,1,1,3492,https://twitter.com/bu_fukuen/status/1932737572201246901,,,,,
6,"男の人が別れを選ぶときは「 他の女に惹かれた 」「 嫌なところしかみえない 」「 重くなった 」みたいな理由が並ぶけど、根底にあるのは『 俺のキャパじゃ抱えきれなくなったとき 』。だから彼のキャパにおさまって、彼自らまた私を求めにくる復縁方法まとめました。無料です
https://t.co/PVPxSjP3uA",2025/06/10 (火),1,0,0,0,2,1198,https://twitter.com/bu_fukuen/status/1932302184760434787,,,,,
7,復縁って、自分のマイナスをうめる行動ってよりは、自分をプラスにするための行動をするのが間違いないって思うんだよね。だから、彼にダメ出しされまくって、そこを埋めても根本は解決しなかったりして、そのダメ出しの裏には男性特有の心理の動きがあることを知っとくと前向きに復縁活動がんばれるよ,2025/06/09 (月),7,0,0,0,0,755,https://twitter.com/bu_fukuen/status/1931955453812220143,,,,,
8,"『 別れたあとに彼にすがりまくっても、彼から連絡がくるようにしむける方法ってありますか？ 』ってよくDMをいただくのですが、もちろんあって。。。

SNSはもちろん、とあることをフル活用しながら仕掛けてくんですが、

需要あればまとめようと思ってます。けっこう知りたいひと、いますかね🥺",2025/06/07 (土),10,0,0,0,3,862,https://twitter.com/bu_fukuen/status/1931205847633576090,,,,,